ticker,asset_size,kind,source_currency
VGK,37858430976.0,aum,USD
IEUR,8644286464.0,aum,USD
FEZ,4349350400.0,aum,USD
SAP,188629172224.0,marketcap,USD
ASML,674898247680.0,marketcap,USD
SIE.DE,207656878080.0,marketcap,EUR
ALV.DE,161993162752.0,marketcap,EUR
NESN.SW,207500967936.0,marketcap,CHF
NOVO-B.CO,1417967566848.0,marketcap,DKK
MC.PA,227663921152.0,marketcap,EUR
AZN.L,196496113664.0,marketcap,GBp
SHEL.L,182917857280.0,marketcap,GBp
NOVN.SW,241200726016.0,marketcap,CHF
HSBA.L,266277404672.0,marketcap,GBp
RMS.PA,172087508992.0,marketcap,EUR
ULVR.L,98519638016.0,marketcap,GBp
OR.PA,199489994752.0,marketcap,EUR
TTE.PA,168519909376.0,marketcap,EUR
SAN.PA,90999128064.0,marketcap,EUR
AIR.PA,162208350208.0,marketcap,EUR
SU.PA,151098245120.0,marketcap,EUR
DTE.DE,127675416576.0,marketcap,EUR
MBG.DE,42864459776.0,marketcap,EUR
BMW.DE,34161709056.0,marketcap,EUR
VOW3.DE,35822559232.0,marketcap,EUR
PRX.AS,78316339200.0,marketcap,EUR
ADYEN.AS,25260890112.0,marketcap,EUR
DGE.L,34743513088.0,marketcap,GBp
BP.L,84732092416.0,marketcap,GBp
GLEN.L,62960947200.0,marketcap,GBp
REL.L,44856176640.0,marketcap,GBp
BATS.L,98643730432.0,marketcap,GBp
RIO.L,111707267072.0,marketcap,GBp
ITX.MC,169553952768.0,marketcap,EUR
UBSG.SW,138683940864.0,marketcap,CHF
RR.L,117022023680.0,marketcap,GBp
ABBN.SW,145181310976.0,marketcap,CHF
CFR.SW,113501872128.0,marketcap,CHF
INVE-B.ST,1236134395904.0,marketcap,SEK
EL.PA,75143225344.0,marketcap,EUR
SAF.PA,136673787904.0,marketcap,EUR
IBE.MC,141537329152.0,marketcap,EUR
ABI.BR,138378149888.0,marketcap,EUR
SAN.MC,171243126784.0,marketcap,EUR
ZURN.SW,93057048576.0,marketcap,CHF
AI.PA,112243589120.0,marketcap,EUR
BNP.PA,116088315904.0,marketcap,EUR
ATCO-A.ST,994750693376.0,marketcap,SEK
RACE.MI,55941775360.0,marketcap,EUR
CS.PA,91201544192.0,marketcap,EUR
ENEL.MI,98508234752.0,marketcap,EUR
UCG.MI,120506449920.0,marketcap,EUR
ISP.MI,113042874368.0,marketcap,EUR
BBVA.MC,126429192192.0,marketcap,EUR
RHM.DE,48291995648.0,marketcap,EUR
GSK.L,76887400448.0,marketcap,GBp
MUV2.DE,65132601344.0,marketcap,EUR
EQNR.OL,932773625856.0,marketcap,NOK
DG.PA,65483747328.0,marketcap,EUR
MRK.DE,60499341312.0,marketcap,EUR
HO.PA,48577232896.0,marketcap,EUR
LSEG.L,42721480704.0,marketcap,GBp
SHL.DE,39239118848.0,marketcap,EUR
INGA.AS,82723012608.0,marketcap,EUR
BA.L,57771651072.0,marketcap,GBp
BARC.L,70859186176.0,marketcap,GBp
NG.L,62206558208.0,marketcap,GBp
LLOY.L,65891950592.0,marketcap,GBp
CPG.L,51502489600.0,marketcap,USD
DHL.DE,63841636352.0,marketcap,EUR
DBK.DE,58523676672.0,marketcap,EUR
G.MI,64177459200.0,marketcap,EUR
ENI.MI,66629980160.0,marketcap,EUR
BN.PA,44948094976.0,marketcap,EUR
ACA.PA,55986597888.0,marketcap,EUR
SGO.PA,36330053632.0,marketcap,EUR
CABK.MC,92513574912.0,marketcap,EUR
VOLV-B.ST,721468784640.0,marketcap,SEK
DSV.CO,345862569984.0,marketcap,DKK
HOLN.SW,40942317568.0,marketcap,CHF
WKL.AS,13917946880.0,marketcap,EUR
NWG.L,53764878336.0,marketcap,GBp
UMG.AS,33891719168.0,marketcap,EUR
LONN.SW,38274637824.0,marketcap,CHF
SREN.SW,39666683904.0,marketcap,CHF
ASM.AS,42012692480.0,marketcap,EUR
DB1.DE,46532247552.0,marketcap,EUR
NDA-FI.HE,58627092480.0,marketcap,EUR
ENGI.PA,70612566016.0,marketcap,EUR
BAS.DE,42951675904.0,marketcap,EUR
ADS.DE,30787774464.0,marketcap,EUR
ALC.SW,27184398336.0,marketcap,CHF
HEIA.AS,42456989696.0,marketcap,EUR
EOAN.DE,51203260416.0,marketcap,EUR
DSY.PA,26122274816.0,marketcap,EUR
CDI.PA,76313673728.0,marketcap,EUR
ARGX.BR,50324062208.0,marketcap,EUR
RKT.L,31435220992.0,marketcap,GBp
HLN.L,32015616000.0,marketcap,GBp
III.L,27667136512.0,marketcap,GBp
GLE.PA,56838901760.0,marketcap,EUR
AAL.L,39870066688.0,marketcap,GBp
BAYN.DE,45250453504.0,marketcap,EUR
KBC.BR,48553869312.0,marketcap,EUR
UCB.BR,46828896256.0,marketcap,EUR
SEB-A.ST,426019651584.0,marketcap,SEK
DNB.OL,427611455488.0,marketcap,NOK
KOG.OL,254910742528.0,marketcap,NOK
P911.DE,39847141376.0,marketcap,EUR
SIKA.SW,25004457984.0,marketcap,CHF
GIVN.SW,29503289344.0,marketcap,CHF
AD.AS,29641408512.0,marketcap,EUR
HNR1.DE,30535194624.0,marketcap,EUR
RYA.IR,25256179712.0,marketcap,EUR
KER.PA,29710669824.0,marketcap,EUR
PRY.MI,37085847552.0,marketcap,EUR
AMS.MC,21318604800.0,marketcap,EUR
AENA.MC,40049999872.0,marketcap,EUR
FER.MC,39858159616.0,marketcap,EUR
EQT.ST,368530489344.0,marketcap,SEK
ERIC-B.ST,301297860608.0,marketcap,SEK
EPI-A.ST,299581014016.0,marketcap,SEK
ASSA-B.ST,386550169600.0,marketcap,SEK
STAN.L,46470578176.0,marketcap,GBp
HEI.DE,29682241536.0,marketcap,EUR
HEN3.DE,30234642432.0,marketcap,EUR
CBK.DE,40330133504.0,marketcap,EUR
CAP.PA,14926444544.0,marketcap,EUR
TSCO.L,29932959744.0,marketcap,GBp
PRU.L,27284461568.0,marketcap,GBp
TEF.MC,20285229056.0,marketcap,EUR
SCHN.SW,26343012352.0,marketcap,CHF
KNIN.SW,24298311680.0,marketcap,CHF
VNA.DE,17587855360.0,marketcap,EUR
PHIA.AS,22511118336.0,marketcap,EUR
LDO.MI,30148055040.0,marketcap,EUR
DTG.DE,35151859712.0,marketcap,EUR
SCMN.SW,32246710272.0,marketcap,CHF
LISN.SW,101450145792.0,marketcap,CHF
PGHN.SW,17455183872.0,marketcap,CHF
CARL-B.CO,119695024128.0,marketcap,DKK
NSIS-B.CO,191713198080.0,marketcap,DKK
ELE.MC,42110840832.0,marketcap,EUR
BEI.DE,16944332800.0,marketcap,EUR
RWE.DE,41957605376.0,marketcap,EUR
EXO.AS,22382911488.0,marketcap,EUR
STLAM.MI,14545488896.0,marketcap,EUR
VOD.L,26389579776.0,marketcap,GBp
IMB.L,21644128256.0,marketcap,GBp
DANSKE.CO,287760252928.0,marketcap,DKK
KNEBV.HE,25344071680.0,marketcap,EUR
SAND.ST,438658760704.0,marketcap,SEK
SWED-A.ST,416898154496.0,marketcap,SEK
FRE.DE,24669790208.0,marketcap,EUR
GALD.SW,40493256704.0,marketcap,CHF
DSFIR.AS,20095223808.0,marketcap,EUR
HEXA-B.ST,223769739264.0,marketcap,SEK
NOKIA.HE,45899595776.0,marketcap,EUR
SAMPO.HE,25398886400.0,marketcap,EUR
CLNX.MC,17205506048.0,marketcap,EUR
TEL.OL,179363823616.0,marketcap,NOK
VER.VI,20567009280.0,marketcap,EUR
VT,96774266880.0,aum,USD
ACWI,33203742720.0,aum,USD
URTH,8064359424.0,aum,USD
VXUS,650318381056.0,aum,USD
VWO,163324018688.0,aum,USD
TSM,2092275466240.0,marketcap,USD
0700.HK,3912107819008.0,marketcap,HKD
9988.HK,2109247586304.0,marketcap,HKD
7203.T,34303530500096.0,marketcap,JPY
6758.T,20019222151168.0,marketcap,JPY
8306.T,42333378707456.0,marketcap,JPY
CBA.AX,290999697408.0,marketcap,AUD
BHP.AX,298998595584.0,marketcap,AUD
RY.TO,409964314624.0,marketcap,CAD
TD.TO,279196598272.0,marketcap,CAD
SHOP.TO,208221667328.0,marketcap,CAD
CNQ.TO,136572297216.0,marketcap,CAD
6861.T,17418154934272.0,marketcap,JPY
6501.T,21749406105600.0,marketcap,JPY
7974.T,8034062958592.0,marketcap,JPY
9984.T,31344079929344.0,marketcap,JPY
8058.T,18007250173952.0,marketcap,JPY
9983.T,23388183592960.0,marketcap,JPY
1299.HK,804833394688.0,marketcap,HKD
EWJ,22312462336.0,aum,USD
DXJ,7079662592.0,aum,USD
285A.T,30651052982272.0,marketcap,JPY
8035.T,28488444674048.0,marketcap,JPY
8316.T,27297738391552.0,marketcap,JPY
6857.T,20955208351744.0,marketcap,JPY
6981.T,15128424611840.0,marketcap,JPY
8411.T,21080066490368.0,marketcap,JPY
6098.T,16782626652160.0,marketcap,JPY
8766.T,15418523648000.0,marketcap,JPY
8001.T,13682753929216.0,marketcap,JPY
8031.T,14074579517440.0,marketcap,JPY
4063.T,12463674228736.0,marketcap,JPY
7011.T,13256026488832.0,marketcap,JPY
4519.T,12204978995200.0,marketcap,JPY
6503.T,11562362339328.0,marketcap,JPY
9432.T,12319394365440.0,marketcap,JPY
7182.T,12260220076032.0,marketcap,JPY
2914.T,11470585724928.0,marketcap,JPY
6752.T,9066514481152.0,marketcap,JPY
9433.T,11126948495360.0,marketcap,JPY
9434.T,10599952023552.0,marketcap,JPY
5803.T,7604443021312.0,marketcap,JPY
6723.T,7126549790720.0,marketcap,JPY
7741.T,8215774363648.0,marketcap,JPY
4502.T,9018451951616.0,marketcap,JPY
5802.T,7702488547328.0,marketcap,JPY
6146.T,6604600115200.0,marketcap,JPY
8002.T,8736250265600.0,marketcap,JPY
8053.T,7601110122496.0,marketcap,JPY
6367.T,6646666887168.0,marketcap,JPY
6762.T,5734323453952.0,marketcap,JPY
6954.T,6181238079488.0,marketcap,JPY
8591.T,7137740718080.0,marketcap,JPY
8750.T,6931830800384.0,marketcap,JPY
8015.T,6783361875968.0,marketcap,JPY
4062.T,4850494996480.0,marketcap,JPY
8725.T,7059338690560.0,marketcap,JPY
6178.T,6975100813312.0,marketcap,JPY
6301.T,5921379975168.0,marketcap,JPY
4578.T,5860763369472.0,marketcap,JPY
8630.T,6279936868352.0,marketcap,JPY
2802.T,4864446824448.0,marketcap,JPY
7267.T,5979003420672.0,marketcap,JPY
6702.T,5688335007744.0,marketcap,JPY
6701.T,5635635675136.0,marketcap,JPY
6902.T,4956620849152.0,marketcap,JPY
6971.T,4789543895040.0,marketcap,JPY
8802.T,4800484737024.0,marketcap,JPY
8308.T,5305438044160.0,marketcap,JPY
4568.T,5094119047168.0,marketcap,JPY
6273.T,4461796786176.0,marketcap,JPY
3382.T,4960999702528.0,marketcap,JPY
5108.T,4625105682432.0,marketcap,JPY
8309.T,4688961339392.0,marketcap,JPY
4901.T,4335260401664.0,marketcap,JPY
8604.T,4676752769024.0,marketcap,JPY
6920.T,3869356064768.0,marketcap,JPY
4661.T,4398539866112.0,marketcap,JPY
8801.T,4171493015552.0,marketcap,JPY
7269.T,3797775548416.0,marketcap,JPY
9020.T,4100777050112.0,marketcap,JPY
8267.T,3704510480384.0,marketcap,JPY
4503.T,3881267888128.0,marketcap,JPY
5016.T,3500305022976.0,marketcap,JPY
1605.T,4370995871744.0,marketcap,JPY
7751.T,3844107141120.0,marketcap,JPY
7735.T,2997042020352.0,marketcap,JPY
8830.T,3398907985920.0,marketcap,JPY
9022.T,3701557690368.0,marketcap,JPY
4543.T,3192817188864.0,marketcap,JPY
5020.T,3523641081856.0,marketcap,JPY
7936.T,3397814845440.0,marketcap,JPY
6594.T,2921943793664.0,marketcap,JPY
4004.T,2625165852672.0,marketcap,JPY
6326.T,3150091124736.0,marketcap,JPY
7013.T,3051675975680.0,marketcap,JPY
4689.T,2985722642432.0,marketcap,JPY
4452.T,2915660464128.0,marketcap,JPY
5401.T,3224100667392.0,marketcap,JPY
1812.T,2574051704832.0,marketcap,JPY
5801.T,2383451258880.0,marketcap,JPY
6525.T,1999950184448.0,marketcap,JPY
1925.T,2835990183936.0,marketcap,JPY
6361.T,2591294488576.0,marketcap,JPY
4307.T,2762106732544.0,marketcap,JPY
4091.T,2551671422976.0,marketcap,JPY
6383.T,2280536408064.0,marketcap,JPY
9735.T,2727193083904.0,marketcap,JPY
6976.T,1428551892992.0,marketcap,JPY
9503.T,2636415238144.0,marketcap,JPY
4612.T,2598953287680.0,marketcap,JPY
7832.T,2636655362048.0,marketcap,JPY
3407.T,2484481294336.0,marketcap,JPY
9766.T,2483394707456.0,marketcap,JPY
7532.T,2579023003648.0,marketcap,JPY
4507.T,2429960323072.0,marketcap,JPY
9502.T,2265802866688.0,marketcap,JPY
1801.T,2229149630464.0,marketcap,JPY
8795.T,2442671423488.0,marketcap,JPY
7012.T,2328254742528.0,marketcap,JPY
8601.T,2578572115968.0,marketcap,JPY
6963.T,1809732468736.0,marketcap,JPY
1802.T,2257492115456.0,marketcap,JPY
2502.T,2410804674560.0,marketcap,JPY
2503.T,2321565614080.0,marketcap,JPY
8697.T,2266962853888.0,marketcap,JPY
1928.T,2292170358784.0,marketcap,JPY
5706.T,1825644609536.0,marketcap,JPY
6988.T,2206544691200.0,marketcap,JPY
5334.T,1840354164736.0,marketcap,JPY
5713.T,2002883969024.0,marketcap,JPY
9101.T,2399544803328.0,marketcap,JPY
5333.T,1712825696256.0,marketcap,JPY
7186.T,2169048399872.0,marketcap,JPY
9532.T,2100338360320.0,marketcap,JPY
9531.T,2057570484224.0,marketcap,JPY
6504.T,1886939119616.0,marketcap,JPY
6479.T,1557789016064.0,marketcap,JPY
8593.T,2066291490816.0,marketcap,JPY
6506.T,1327185788928.0,marketcap,JPY
7453.T,2230540566528.0,marketcap,JPY
7733.T,1838146519040.0,marketcap,JPY
3659.T,1786232176640.0,marketcap,JPY
7270.T,1801599975424.0,marketcap,JPY
9104.T,2007748313088.0,marketcap,JPY
3436.T,1267011026944.0,marketcap,JPY
1803.T,1668797562880.0,marketcap,JPY
7181.T,1916910305280.0,marketcap,JPY
8473.T,1825086898176.0,marketcap,JPY
4684.T,1806490009600.0,marketcap,JPY
005930.KS,1638357553643520.0,marketcap,KRW
000660.KS,1248634771341312.0,marketcap,KRW
